Year,Underemployment_Rate,Underemployment_Male,Underemployment_Female,Real_GDP,GDP_Growth_Rate,Inflation_Rate,Exchange_Rate_LKR_USD,Informal_Pct,Informal_Male_Pct,Informal_Female_Pct,Youth_LFPR_15_24,Youth_Unemployment_15_24,Youth_Unemployment_Male,Youth_Unemployment_Female,Unemployment_Rate,Remit_Personal_remittances_paid_current_US$,Remit_Personal_remittances_received_pct_of_GDP,Remit_Personal_remittances_received_current_US$,Remit_Personal_transfers_receipts_BoP_current_US$,Underemployment_Note,AgriProdIdx_Weighted
2015,2.7,2.0,3.8,284900.9688,4.206,3.7684,135.86,59.8,63.2,53.7,33.7,12.8,8.5,19.4,4.7,896280000.215906,8.22623893469037,6999731474.7887,6980301474.74552,,107.22882283743745
2016,2.4,1.7,3.5,299298.8125,5.0536,3.9589,145.6,60.2,63.4,54.4,32.7,12.4,8.2,18.6,4.4,895080001.022999,8.25208420348126,7261851525.12139,7241531524.85695,,99.54270229525292
2017,2.8,2.2,3.9,318635.5312,6.4607,7.7041,152.46,58.0,60.8,53.1,33.0,11.8,7.8,17.8,4.2,944429997.978739,7.61931283120434,7190296015.03347,7163956015.54659,,75.69946015819573
2018,2.6,2.2,3.5,325996.2812,2.3101,2.135,162.54,58.7,62.5,51.3,30.0,13.1,8.8,19.2,4.4,962280000.0,7.45689609377321,7043039552.3926,7015419552.3926,,90.69720283214315
2019,2.7,2.3,3.5,325277.5312,-0.2205,3.5284,178.74,57.4,60.8,51.1,30.7,14.2,9.6,20.4,4.8,1090540000.0,7.58292151108231,6748702044.3482,6717212044.3482,,100.33449042124043
2020,2.6,2.3,3.3,310235.0312,-4.6245,6.1539,185.59,58.1,62.1,49.9,29.2,26.5,18.2,37.8,5.5,1042200001.07553,8.46666948979071,7140414362.13216,7103934361.76853,,104.13609550112594
2021,2.5,2.1,3.3,323288.0938,4.2075,7.0148,199.0002,58.4,62.7,49.7,26.4,26.5,18.4,36.9,5.1,343600000.0,6.23540007343764,5521864470.5955,5491464470.5955,,111.47535014733721
2022,2.5,2.1500000000000004,3.2,299536.7812,-7.3468,49.7211,321.5261,57.4,62.0,48.6,25.3,22.7,15.6,31.9,4.7,364930002.331941,5.1513598897261,3819373806.84977,3789462306.57004,LFS artefact — imputed as (2021+2023)/2,84.71994096794384
2023,2.5,2.2,3.1,292653.4062,-2.298,16.5412,326.6297,58.0,62.3,49.5,24.0,23.0,15.9,32.1,4.7,185243267.52,7.19406597922512,6022594532.62525,5969558531.65525,,95.05527825067642
2024,2.4,2.1,3.0,300583.66288413847,0.6268509771354885,-0.4294,301.6752,56.9,61.4,47.7,23.8,22.0,15.2,30.4,4.4,166050273.61,6.79203842044984,6721617581.91647,6575383420.30647,,94.5345480604132
