Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","1991","1991","1000 USD","181063","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","1992","1992","1000 USD","246603","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","1993","1993","1000 USD","264611","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","1994","1994","1000 USD","250581","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","1995","1995","1000 USD","223367","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","1996","1996","1000 USD","291730","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","1997","1997","1000 USD","324376","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","1998","1998","1000 USD","327399","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","1999","1999","1000 USD","351304","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2000","2000","1000 USD","255054","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2001","2001","1000 USD","237018","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2002","2002","1000 USD","299743","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2003","2003","1000 USD","290229","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2004","2004","1000 USD","269626","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2005","2005","1000 USD","302599","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2006","2006","1000 USD","351295","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2007","2007","1000 USD","416956","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2008","2008","1000 USD","660270","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2009","2009","1000 USD","458500","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2010","2010","1000 USD","599709","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2011","2011","1000 USD","573040","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2012","2012","1000 USD","640032","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2013","2013","1000 USD","789905","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2014","2014","1000 USD","872993","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2015","2015","1000 USD","959755","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2016","2016","1000 USD","737428","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2017","2017","1000 USD","918990","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2018","2018","1000 USD","625639","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2019","2019","1000 USD","671039","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2020","2020","1000 USD","925306","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2021","2021","1000 USD","765195","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2022","2022","1000 USD","608665","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2023","2023","1000 USD","635326","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2024","2024","1000 USD","734723","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","58","Gross Production Value (constant 2014-2016 thousand US$)","01460","Coconuts, in shell","1961","1961","1000 USD","700928","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","58","Gross Production Value (constant 2014-2016 thousand US$)","01460","Coconuts, in shell","1962","1962","1000 USD","775860","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","58","Gross Production Value (constant 2014-2016 thousand US$)","01460","Coconuts, in shell","1963","1963","1000 USD","753994","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","58","Gross Production Value (constant 2014-2016 thousand US$)","01460","Coconuts, in shell","1964","1964","1000 USD","790498","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","58","Gross Production Value (constant 2014-2016 thousand US$)","01460","Coconuts, in shell","1965","1965","1000 USD","725442","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","58","Gross Production Value (constant 2014-2016 thousand US$)","01460","Coconuts, in shell","1966","1966","1000 USD","613193","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","58","Gross Production Value (constant 2014-2016 thousand US$)","01460","Coconuts, in shell","1967","1967","1000 USD","660307","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","58","Gross Production Value (constant 2014-2016 thousand US$)","01460","Coconuts, in shell","1968","1968","1000 USD","711016","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","58","Gross Production Value (constant 2014-2016 thousand US$)","01460","Coconuts, in shell","1969","1969","1000 USD","691236","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","58","Gross Production Value (constant 2014-2016 thousand US$)","01460","Coconuts, in shell","1970","1970","1000 USD","693394","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","58","Gross Production Value (constant 2014-2016 thousand US$)","01460","Coconuts, in shell","1971","1971","1000 USD","732955","E","Estimated value"
