observation_date,RGDPNALKA666NRUG
1950-01-01,13178.0166015625
1951-01-01,14071.4863281250
1952-01-01,14925.8398437500
1953-01-01,14264.4013671875
1954-01-01,15341.3203125000
1955-01-01,16100.8349609375
1956-01-01,14154.7207031250
1957-01-01,14600.0498046875
1958-01-01,15634.3955078125
1959-01-01,15926.0117187500
1960-01-01,16959.9042968750
1961-01-01,18941.8164062500
1962-01-01,19009.7558593750
1963-01-01,20684.4296875000
1964-01-01,21405.5410156250
1965-01-01,21910.5761718750
1966-01-01,23095.8496093750
1967-01-01,25275.7871093750
1968-01-01,26579.6367187500
1969-01-01,29132.2500000000
1970-01-01,31684.4589843750
1971-01-01,31849.0175781250
1972-01-01,32858.5585937500
1973-01-01,34017.4648437500
1974-01-01,35361.4687500000
1975-01-01,36562.1250000000
1976-01-01,37946.7890625000
1977-01-01,39504.3671875000
1978-01-01,42928.2343750000
1979-01-01,45532.8632812500
1980-01-01,48337.9179687500
1981-01-01,51019.6250000000
1982-01-01,53665.3242187500
1983-01-01,56215.8710937500
1984-01-01,59055.5664062500
1985-01-01,62018.2031250000
1986-01-01,64668.6992187500
1987-01-01,65717.3984375000
1988-01-01,67543.7031250000
1989-01-01,68877.1718750000
1990-01-01,73174.6406250000
1991-01-01,76702.3515625000
1992-01-01,80061.1093750000
1993-01-01,85597.8203125000
1994-01-01,90433.4062500000
1995-01-01,95433.8125000000
1996-01-01,99019.5234375000
1997-01-01,105399.8437500000
1998-01-01,110408.0703125000
1999-01-01,115127.1484375000
2000-01-01,122010.7656250000
2001-01-01,120339.9609375000
2002-01-01,125177.8359375000
2003-01-01,132613.7343750000
2004-01-01,139834.6250000000
2005-01-01,148562.7500000000
2006-01-01,161018.1406250000
2007-01-01,173105.2343750000
2008-01-01,184624.1875000000
2009-01-01,192428.4218750000
2010-01-01,209234.9218750000
2011-01-01,227374.5156250000
2012-01-01,247001.9062500000
2013-01-01,257009.7968750000
2014-01-01,273401.8125000000
2015-01-01,284900.9687500000
2016-01-01,299298.8125000000
2017-01-01,318635.5312500000
2018-01-01,325996.2812500000
2019-01-01,325277.5312500000
2020-01-01,310235.0312500000
2021-01-01,323288.0937500000
2022-01-01,299536.7812500000
2023-01-01,292653.4062500000
