Date,1_month_rainfall_aggregate,1_month_rainfall_aggregate_avg,monthly_rainfall_anomaly
2021-04-01,91.6911,117.4755,78.9473
2021-04-11,142.6346,140.8384,101.2316
2021-04-21,128.3047,161.2338,80.1911
2021-05-01,205.6216,171.5293,119.3125
2021-05-11,222.5128,173.279,127.6161
2021-05-21,264.1288,163.3852,159.8293
2021-06-01,248.783,135.1011,181.1427
2021-06-11,181.6934,104.8046,170.0233
2021-06-21,115.2711,82.8999,136.8273
2021-07-01,110.9865,73.3051,148.1212
2021-07-11,122.2063,71.7105,165.8264
2021-07-21,131.4153,72.3861,176.2787
2021-08-01,81.8516,68.2979,118.4912
2021-08-11,85.0219,71.3153,117.9606
2021-08-21,112.2352,77.7431,141.6858
2021-09-01,145.7667,98.3954,145.8157
2021-09-11,152.622,108.6227,138.7241
2021-09-21,175.748,134.3033,129.7515
2021-10-01,241.0341,159.1168,149.914
2021-10-11,238.6118,212.0133,112.2566
2021-10-21,327.5861,265.9133,122.7648
2021-11-01,426.1806,316.2169,134.2335
2021-11-11,461.9925,335.7834,137.035
2021-11-21,480.9365,342.4439,139.8604
2021-12-01,305.8274,312.3296,97.951
2021-12-11,286.7107,290.4703,98.7276
2021-12-21,112.721,245.7937,46.9394
2022-01-01,101.8945,215.7227,48.4293
2022-01-11,56.1274,172.6371,34.4114
2022-01-21,54.8213,142.1016,40.6667
2022-02-01,46.3509,121.9119,40.4619
2022-02-11,116.0807,102.7243,112.3988
2022-02-21,122.0168,82.3071,145.4828
2022-03-01,136.5189,76.5936,173.4436
2022-03-11,93.8292,82.4319,113.0357
2022-03-21,97.1489,96.1135,101.0239
2022-04-01,161.7037,117.4755,136.1119
2022-04-11,179.9613,140.8384,126.8262
2022-04-21,227.4055,161.2338,139.8064
2022-05-01,168.2338,171.5293,98.1332
2022-05-11,157.7443,173.279,91.2863
2022-05-21,154.4713,163.3852,94.7063
2022-06-01,126.3626,135.1011,93.7627
2022-06-11,123.8903,104.8046,117.3816
2022-06-21,73.0597,82.8999,88.8052
2022-07-01,71.1232,73.3051,97.2136
2022-07-11,41.3906,71.7105,60.4749
2022-07-21,117.6682,72.3861,158.5145
2022-08-01,153.448,68.2979,216.1698
2022-08-11,148.1195,71.3153,200.6406
2022-08-21,169.2455,77.7431,210.5861
2022-09-01,179.272,98.3954,178.2207
2022-09-11,174.9547,108.6227,158.3792
2022-09-21,85.0574,134.3033,64.6485
2022-10-01,70.3014,159.1168,45.8828
2022-10-11,207.0495,212.0133,97.7127
2022-10-21,303.7938,265.9133,113.9825
2022-11-01,422.4433,316.2169,133.07
2022-11-11,362.9977,335.7834,107.9858
2022-11-21,264.0065,342.4439,77.4244
2022-12-01,217.1017,312.3296,69.9909
2022-12-11,226.1549,290.4703,78.2329
2022-12-21,311.6621,245.7937,126.264
2023-01-01,218.5922,215.7227,101.3
2023-01-11,144.4032,172.6371,84.1059
2023-01-21,118.8372,142.1016,84.1848
2023-02-01,181.4274,121.9119,146.8952
2023-02-11,190.2095,102.7243,181.2122
2023-02-21,136.8572,82.3071,162.4807
2023-03-01,90.1815,76.5936,116.6531
2023-03-11,132.2954,82.4319,157.0313
2023-03-21,144.9417,96.1135,148.2904
2023-04-01,147.3756,117.4755,124.4132
2023-04-11,92.8381,140.8384,67.0866
