YEAR,QUARTER,total_employed,underemployed,underemp_rate
2015,1,1691,245,14.488468361916027
2015,2,1569,412,26.258763543658382
2015,3,1726,280,16.22247972190035
2015,4,1649,277,16.79805942995755
2016,1,1786,308,17.245240761478165
2016,2,1714,299,17.444574095682615
2016,3,1706,279,16.354044548651817
2016,4,1734,294,16.955017301038062
2017,1,1816,304,16.740088105726873
2017,2,1819,421,23.14458493677845
2017,3,1742,276,15.843857634902411
2017,4,1764,319,18.08390022675737
2018,2,2,2,100.0
2018,3,1607,296,18.419415059116364
2018,4,1571,255,16.231699554423933
2019,1,1640,263,16.036585365853657
2019,2,1485,291,19.5959595959596
2019,3,1537,323,21.014964216005204
2019,4,1609,317,19.701678060907398
2020,1,1377,335,24.328249818445897
2020,2,1084,354,32.656826568265686
2020,3,1470,270,18.367346938775512
2020,4,1431,311,21.733053808525508
2021,1,1573,280,17.80038143674507
2021,2,1358,423,31.148748159057437
2021,3,1350,377,27.925925925925927
2021,4,1450,327,22.551724137931036
2022,1,1571,282,17.950350095480587
2022,2,1490,398,26.711409395973156
2022,3,1474,408,27.6797829036635
2022,4,1445,338,23.391003460207614
2023,1,1511,296,19.589675711449374
2023,2,1480,324,21.891891891891895
2023,3,1351,291,21.53960029607698
2023,4,1355,289,21.328413284132843
2024,1,1351,256,18.948926720947444
2024,2,1372,301,21.93877551020408
2024,3,1360,246,18.088235294117645
2024,4,1396,253,18.12320916905444
