YEAR,QUARTER,total_employed_weighted,underemployed_weighted,underemp_rate,sample_size
2015,1,1741208.8835476218,238802.05982578264,13.714727858454063,1691.0
2015,2,1564474.4232621114,409490.593421764,26.174323295610574,1569.0
2015,3,1706941.3141361345,270782.9183315392,15.863633745872493,1726.0
2015,4,1650191.0414795117,274351.44545729377,16.625435392699657,1649.0
2016,1,1698550.2037573704,280823.01716517675,16.533100790542836,1786.0
2016,2,1664491.7958735796,272119.5014984131,16.348503619724717,1714.0
2016,3,1687206.1245844562,266357.96603227546,15.786925032522452,1706.0
2016,4,1741735.8063531383,289222.686763737,16.605428085520842,1734.0
2017,1,1775354.4435417757,289003.30251694494,16.278625576332384,1816.0
2017,2,1807025.5699202968,415720.8787748279,23.005810526143485,1819.0
2017,3,1763858.620115919,277848.5502602518,15.752314107918233,1742.0
2017,4,1833898.9138065963,317918.70273871336,17.335672121579172,1764.0
2018,2,1199.241350543701,1199.241350543701,100.0,2.0
2018,3,1715110.256855059,300837.4694795318,17.54041574161929,1607.0
2018,4,1672263.2253841306,273870.9085260057,16.377260730773745,1571.0
2019,1,1736506.3523061103,263941.8626440909,15.199590965709486,1640.0
2019,2,1612542.8104688695,319167.4940366918,19.792807481736837,1485.0
2019,3,1663079.9553085784,350450.3231129006,21.07236768708909,1537.0
2019,4,1694383.77939035,325417.4507605625,19.205651914210947,1609.0
2020,1,1520813.9271788092,354671.0628641415,23.321134592847606,1377.0
2020,2,1199676.0564299652,382961.98900291184,31.922116553908936,1084.0
2020,3,1612194.619157443,282468.8687852409,17.520767370682787,1470.0
2020,4,1611632.6782699963,359602.929722338,22.312958440899383,1431.0
2021,1,1722089.3363007552,279845.8280045994,16.250366465060413,1573.0
2021,2,1548090.7218855796,475694.2532967218,30.727802096593194,1358.0
2021,3,1503169.1905986613,408317.4169749397,27.163769689313597,1350.0
2021,4,1621784.1218420505,352339.7960610256,21.72544368364095,1450.0
2022,1,1571.0,282.0,17.950350095480587,1571.0
2022,2,1490.0,398.0,26.71140939597316,1490.0
2022,3,1474.0,408.0,27.6797829036635,1474.0
2022,4,1445.0,338.0,23.39100346020761,1445.0
2023,1,1648420.26755638,317290.2460189929,19.24814031128993,1511.0
2023,2,1675631.9785965555,365989.9952213337,21.84190800224956,1480.0
2023,3,1594195.4883921714,333430.9329103384,20.915310282719517,1351.0
2023,4,1653292.0437770886,331727.1954730608,20.064645972359568,1355.0
2024,1,1656899.128576452,298229.00522286503,17.99922518391887,1351.0
2024,2,1610336.4791502664,349610.6230228676,21.710408200362465,1372.0
2024,3,1654846.3308807518,271015.6704411136,16.377089847180677,1360.0
2024,4,1758929.261856437,295833.44485464867,16.818950669023238,1396.0
